f,Zone,Grade,Store Name,Space code,W,H,Material,D,Qty,Sq.ft.,Cost,,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
12,North,A,Lucknow,21L1ODVIS11,240'',72'',Flex,,1,120,,0,Frontlit,Window,Generic,Generic,
13,North,A,Lucknow,21L1ODVIS12,96'',72'',Flex,,1,48,,0,Frontlit,Window,Generic,Generic,
14,North,A,Lucknow,21L1VIS1,,,Need Recce,,,,,0,Frontlit,Pillar,Sunglass,Non-apps,
15,North,A,Lucknow,21L1VIS3,27'',90'',ESML,,1,16.875,,0,Frontlit,Pillar,Ladies Footwear,Leather,
16,North,A,Lucknow,21L1VIS4,,,Need Recce,,,,,0,Frontlit,Pillar,Mens Footwear,Leather,
17,North,A,Lucknow,21L1VIS5,30'',111'',Backlit Fabric with silicon strip,,1,23.125,,0,Frontlit,Pillar,Fragrance,Beauty,
18,North,A,Lucknow,21L1VM1,93'',103'',Flex,,1,66.52083333,,0,Frontlit,Window,Non-apps,Non-apps,
19,North,A,Lucknow,21L2CC1,225'',77'',Backlit Fabric with silicon strip,,,120.3125,,1,Backlit ,Cash Counter,Mens,Mens,
20,North,A,Lucknow,21L2ODVIS1,,,Need Recce,,,,,1,Frontlit,Façade,Mens,Mens,
21,North,A,Lucknow,21L2ODVIS2,11'',10'',ESML,,1,0.7413333333,,1,Frontlit,Window,Mens,Mens,
22,North,A,Lucknow,21L2ODVIS3,,,Need Recce,,,,,1,Frontlit,Window,Mens,Mens,
23,North,A,Lucknow,21L2VIS1,36'',123'',ESML,,1,30.75,,1,Frontlit,Pillar,Mens Denim,Mens,
24,North,A,Lucknow,21L2VIS2,36'',123'',ESML,,1,30.75,,1,Frontlit,Pillar,Mens Denim,Mens,
25,North,A,Lucknow,21L2VIS3,36'',123'',ESML,,1,30.75,,1,Frontlit,Pillar,Mens Denim,Mens,
26,North,A,Lucknow,21L2VIS4,36'',123'',ESML,,1,30.75,,1,Frontlit,Pillar,Mens Denim,Mens,
27,North,A,Lucknow,21L2VIS5,36'',123'',ESML,,1,30.75,,1,Frontlit,Pillar,Mens Denim,Mens,
28,North,A,Lucknow,21L2VIS6,36'',123'',ESML,,1,30.75,,1,Frontlit,Pillar,Mens Denim,Mens,
29,North,A,Lucknow,21L2VIS7,32'',123'',ESML,,1,27.33333333,,1,Frontlit,Pillar,Mens Formal,Mens,
30,North,A,Lucknow,21L2VIS8,32'',138'',ESML,,1,30.66666667,,1,Frontlit,Pillar,Mens Formal,Mens,
31,North,A,Lucknow,21L2VIS9,32'',138'',ESML,,1,30.66666667,,1,Frontlit,Pillar,Mens Denim,Mens,
32,North,A,Lucknow,21L2VIS10,32'',123'',ESML,,1,27.33333333,,1,Frontlit,Pillar,Mens Denim,Mens,
33,North,A,Lucknow,21L2VIS11,34'',123'',ESML,,1,29.04166667,,1,Frontlit,Pillar,Mens Formal,Mens,
34,North,A,Lucknow,21L2VIS12,32'',123'',ESML,,1,27.33333333,,1,Frontlit,Pillar,Mens Denim,Mens,
