58gffl5,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,,Cost,Level,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
40,South,B,Prestige Kanakpura,8523GFV10,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Sunglass,Non-apps,
41,South,B,Prestige Kanakpura,8523GFV11,25'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Handbags,Leather,
42,South,B,Prestige Kanakpura,8523GFV12,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Handbags,Leather,
43,South,B,Prestige Kanakpura,8523GFV13,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Handbags,Leather,
44,South,B,Prestige Kanakpura,8523GFV14,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Handbags,Leather,
45,South,B,Prestige Kanakpura,8523GFV15,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
46,South,B,Prestige Kanakpura,8523GFV1,37'',136'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
47,South,B,Prestige Kanakpura,8523GFV2,50'',136'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
48,South,B,Prestige Kanakpura,8523GFV3,50'',136'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
49,South,B,Prestige Kanakpura,8523GFV4,51'',136'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
50,South,B,Prestige Kanakpura,8523GFV5,51'',136'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
51,South,B,Prestige Kanakpura,8523GFV6,36'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
