,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category,Category,Comments
28,West,A,Ahmedabad,51GFV13,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,0,Backlit,Pillar,Ladies Footwear,Leather,,
29,West,A,Ahmedabad,51GFV14,30'',102'',Backlit Fabric with Silion Strips,,1,20.89583333,,0,Backlit,Pillar,Ladies Footwear,Leather,,
30,West,A,Ahmedabad,51GFV16,32'',126'',Backlit Fabric with Silion Strips,,1,28,,0,Backlit,Pillar,Beauty,Beauty,,
31,West,A,Ahmedabad,51GFV17,31'',126'',Backlit Fabric with Silion Strips,,1,27.125,,0,Backlit,Pillar,Beauty,Beauty,,
32,West,A,Ahmedabad,51GFV18,35'',118'',Backlit Fabric with Silion Strips,,1,28.68055556,,0,Backlit,Pillar,Fragrance,Beauty,,
33,West,A,Ahmedabad,51GFV19,33'',125'',Backlit Fabric with Silion Strips,,1,28.21180556,,0,Backlit,Pillar,Fragrance,Beauty,,
34,West,A,Ahmedabad,51GFV20,33'',127'',Backlit Fabric with Silion Strips,,1,28.66319444,,0,Backlit,Pillar,Beauty,Beauty,,
35,West,A,Ahmedabad,51GFV20a,"32.5""","127.5""",Backlit Fabric with Silion Strips,,1,#VALUE!,,0,Backlit,Pillar,Beauty,Beauty,,
36,West,A,Ahmedabad,51GFV21,37'',126'',Backlit Fabric with Silion Strips,,1,31.9375,,0,Backlit,Pillar,Beauty,Beauty,,
37,West,A,Ahmedabad,51GFCC1,171'',70'',Backlit Fabric with Silion Strips,,1,83.125,,0,Backlit,Cash Counter,Generic,Generic,,
38,West,A,Ahmedabad,51GFSV1,"24"" x 6""",65'',Translit film,,12,#VALUE!,,0,Frontlit,Sensomatic,Beauty,Beauty,,
39,West,A,Ahmedabad,51GFSV2,15'',56'',Translit film,,4,5.833333333,,0,Frontlit,Sensomatic,Non-apps,Non-apps,,
40,West,A,Ahmedabad,51GFW2,134'',124'',Backlit Fabric with Silion Strips,,1,115.3888889,,0,Frontlit,Window,Generic,Generic,,
41,West,A,Ahmedabad,51GFW3,107'',126'',Backlit Fabric with Silion Strips,,1,93.625,,0,Frontlit,Window,Generic,Generic,,
42,West,A,Ahmedabad,51GFW4,122'',123'',Backlit Fabric with Silion Strips,,,104.2083333,,0,Frontlit,Window,Generic,Generic,,
43,West,A,Ahmedabad,51GFW5,127'',125'',Backlit Fabric with Silion Strips,,1,110.2430556,,0,Frontlit,Window,Generic,Generic,,
44,West,A,Ahmedabad,51GFW6,126'',126'',Backlit Fabric with Silion Strips,,1,110.25,,0,Frontlit,Window,Generic,Generic,,
45,West,A,Ahmedabad,51FFV1,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,1,Backlit,Pillar,Mens Formal,Mens,,
46,West,A,Ahmedabad,51FFV4,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,1,Backlit,Pillar,Indian Wear,Ladies,,
47,West,A,Ahmedabad,51FFV7,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,1,Backlit,Pillar,Mens Denim,Mens,,
48,West,A,Ahmedabad,51FFV8,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,1,Backlit,Pillar,Mens Denim,Mens,,
49,West,A,Ahmedabad,51FFV9,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,1,Backlit,Pillar,Mens Denim,Mens,,
50,West,A,Ahmedabad,51FFV10,30'',103'',Backlit Fabric with Silion Strips,,1,21.28298611,,1,Backlit,Pillar,Mens Denim,Mens,,
51,West,A,Ahmedabad,51FFV11,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,1,Backlit,Pillar,Mens Denim,Mens,,
52,West,A,Ahmedabad,51FFSV1,16'',56'',Translit film,,8,6.027777778,,1,Frontlit,Sensomatic,Mens,Mens,,
53,West,A,Ahmedabad,51FB1,40'',108'',Backlit Fabric with Silion Strips,,1,29.925,,1,Backlit,Façade,Generic,Generic,,
54,West,A,Ahmedabad,51SFV4,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,2,Backlit,Pillar,Kids,Kids,,
55,West,A,Ahmedabad,51SFV5,30'',103'',Backlit Fabric with Silion Strips,,1,20.99826389,,2,Backlit,Pillar,Kids,Kids,,
56,West,A,Ahmedabad,51SFV6,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,2,Backlit,Pillar,Kids,Kids,,
57,West,A,Ahmedabad,51DS01,,,Digital Screen,,,,,0,Digital,Store Entrance,Generic,Generic,,
,,,,,,,,,,,,,,,,,,
1,West,A,Aundh,273LGSOH1 (2vis),39'',106'',ESML,,1,28.70833333,,0,Frontlit,Pillar,Watches,Non-apps,,
2,West,A,Aundh,273LGSOH5,40'',106'',ESML,,1,29.44444444,,-1,Frontlit,Pillar,Mens Formal,Mens,,
3,West,A,Aundh,273LGSOH7,71'',110'',Backlit Fabric with Silion Strips,,1,54.23611111,,-1,Backlit,Pillar,Mens Denim,Mens,,
4,West,A,Aundh,273LGSOH8,57'',96'',Backlit Fabric with Silion Strips,,1,38,,-1,Backlit,Pillar,Mens Denim,Mens,,
5,West,A,Aundh,273LGSOH11,34'',105'',ESML,,1,24.79166667,,-1,Frontlit,Pillar,Ladies Western,Ladies,,
6,West,A,Aundh,273LGSOH15,37'',105'',ESML,,1,26.97916667,,-1,Frontlit,Pillar,Ladies Western,Ladies,,
7,West,A,Aundh,273LGSOH16 (2vis),37'',110'',ESML,,2,28.26388889,,-1,Frontlit,Pillar,Kids girl,Kids,,
8,West,A,Aundh,273LGSOH17 (2vis),38'',111'',ESML,,2,29.29166667,,-1,Frontlit,Pillar,Kids Boy,Kids,,
