f,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category
13,East,B,Kol Acropolis,88FFSOH8,46'',103'',Eco Solvent Self adhesive vinyl with matt lamination,,1,32.90277778,,1,Frontlit,Pillar,Ladies Western,Ladies
14,East,B,Kol Acropolis,88FFSOH11,32'',131'',Eco Solvent Self adhesive vinyl with matt lamination,,1,29,,1,Frontlit,Pillar,Kids,Kids
15,East,B,Kol Acropolis,88FFW1,86'',130'',Eco Solvent Self adhesive vinyl with matt lamination,,1,77.63888889,,1,Frontlit,Window,Ladies,Ladies
16,East,B,Kol Acropolis,88FFSV1,17'',51'',Eco Solvent Self adhesive vinyl with matt lamination,,6,6.020833333,,1,Frontlit,Sensomatic,Ladies,Ladies
17,East,B,Kol Acropolis,88SFSOH3,40'',71'',Backlit Fabric with silicon strip,,1,19.47569444,,2,Frontlit,Pillar,Mens Formal,Mens
18,East,B,Kol Acropolis,88SFSOH7,43'',113'',Eco Solvent Self adhesive vinyl with matt lamination,,1,33.74305556,,2,Frontlit,Pillar,Mens Denim,Mens
19,East,B,Kol Acropolis,88SFSOH9,43'',113'',Eco Solvent Self adhesive vinyl with matt lamination,,1,33.74305556,,2,Backlit,Pillar,Mens Athleisure,Mens
20,East,B,Kol Acropolis,88SFCC1,260'',81'',Backlit Fabric with silicon strip,,1,145.3472222,,2,Backlit,Cash Counter,Mens,Mens
21,East,B,Kol Acropolis,88SFW1,86'',130'',Eco Solvent Self adhesive vinyl with matt lamination,,1,77.63888889,,2,Frontlit,Window,Mens,Mens
22,East,B,Kol Acropolis,88SFSV1,16'',52'',TRANSLIT FILM ,,6,5.777777778,,2,Frontlit,Sensomatic,Mens,Mens
23,East,B,Kol Acropolis,88GFSOH1,40'',124'',Eco Solvent Self adhesive vinyl with matt lamination,,1,34.44444444,,0,Frontlit,Pillar,Fragrance,Beauty
24,East,B,Kol Acropolis,88GFSOH2,,,Actual,,,,,0,Frontlit,Pillar,Watches,Non-apps
25,East,B,Kol Acropolis,88GFSOH6,,,Actual,,,,,0,Frontlit,Pillar,Indian Wear,Ladies
26,East,B,Kol Acropolis,88GFSV1,21'',62'',VINYL ON SUNBOARD [ Actual ],,3,9.041666667,,0,Frontlit,Sensomatic,Non-apps,Non-apps
27,East,B,Kol Acropolis,88FFSOH4,37'',109'',Eco Solvent Self adhesive vinyl with matt lamination,,1,28.00694444,,1,Frontlit,Pillar,Kids,Kids
28,East,B,Kol Acropolis,88FFSOH5,27'',109'',Eco Solvent Self adhesive vinyl with matt lamination,,1,20.4375,,1,Frontlit,Pillar,Ladies Western,Ladies
29,East,B,Kol Acropolis,88FFSOH6,,,Actual,,,,,1,Frontlit,Pillar,Ladies Western,Ladies
30,East,B,Kol Acropolis,88FFSOH9,27'',109'',Eco Solvent Self adhesive vinyl with matt lamination,,1,20.4375,,1,Backlit,Pillar,Lingerie,Ladies
